CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200163,0,57,Self Enquiry,1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439
200360,0,57,Self Enquiry,1,6,Small Business,Male,2,3,Deluxe,3,Divorced,3,0,3,1,1,Manager,21755
200424,0,57,Self Enquiry,3,35,Small Business,Male,2,4,Super Deluxe,3,Married,4,0,3,0,0,AVP,29118
201053,0,57,Self Enquiry,1,6,Salaried,Male,3,1,Deluxe,3,Divorced,1,0,3,1,2,Manager,19900
201633,0,57,Self Enquiry,1,30,Salaried,Male,2,1,Standard,3,Married,4,1,4,1,0,Senior Manager,24439
201830,0,57,Self Enquiry,1,6,Small Business,Male,2,3,Deluxe,3,Married,3,0,3,0,1,Manager,21755
201894,0,57,Self Enquiry,3,35,Small Business,Male,2,4,Super Deluxe,3,Married,4,0,3,1,0,AVP,29118
202529,0,57,Self Enquiry,1,14,Salaried,Male,3,6,Standard,3,Unmarried,6,0,2,0,1,Senior Manager,25938
202566,1,57,Self Enquiry,1,21,Salaried,Female,4,4,Basic,4,Divorced,2,1,5,1,2,Executive,23641
202619,0,57,Self Enquiry,1,15,Salaried,Female,4,4,Basic,5,Married,6,1,4,1,2,Executive,22935
202845,0,57,Company Invited,3,13,Salaried,Female,3,3,Super Deluxe,5,Divorced,2,0,3,1,1,AVP,31890
202996,0,57,Self Enquiry,1,16,Small Business,Male,3,4,Super Deluxe,3,Divorced,2,0,4,0,1,AVP,29781
203216,0,57,Company Invited,1,16,Small Business,Female,4,4,Basic,3,Divorced,4,0,2,0,1,Executive,21620
203420,0,57,Self Enquiry,1,30,Salaried,Male,4,4,Super Deluxe,4,Divorced,6,1,4,1,3,AVP,32080
203467,0,57,Self Enquiry,1,7,Salaried,Female,3,4,Basic,5,Divorced,4,0,5,1,2,Executive,20744
203798,1,57,Self Enquiry,1,31,Salaried,Male,4,4,Basic,3,Single,3,0,3,0,1,Executive,21265
203815,0,57,Self Enquiry,3,18,Small Business,Female,3,5,Deluxe,5,Married,6,0,5,0,2,Manager,24058
203885,0,57,Company Invited,1,7,Salaried,Male,3,4,Deluxe,3,Married,3,0,3,0,1,Manager,24984
203888,1,57,Self Enquiry,1,14,Large Business,Male,4,4,Basic,3,Married,2,0,4,1,3,Executive,21017
203999,0,57,Self Enquiry,1,14,Salaried,Male,3,6,Standard,3,Unmarried,6,0,1,0,1,Senior Manager,25938
204036,1,57,Self Enquiry,1,21,Salaried,Female,4,4,Basic,4,Married,2,1,5,1,1,Executive,23641
204089,0,57,Self Enquiry,1,15,Salaried,Female,4,4,Basic,5,Married,6,1,4,1,2,Executive,22935
204315,0,57,Company Invited,3,13,Salaried,Female,3,2,Super Deluxe,5,Married,2,0,3,1,1,AVP,31890
204466,0,57,Self Enquiry,1,16,Small Business,Male,3,4,Super Deluxe,3,Married,2,0,4,0,1,AVP,29781
204686,0,57,Company Invited,1,16,Small Business,Female,4,4,Basic,3,Married,4,0,1,1,1,Executive,21620
200085,0,56,Self Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,2,0,0,Senior Manager,22260
200401,0,56,Company Invited,3,12,Salaried,Female,2,2,Super Deluxe,5,Divorced,1,0,3,1,0,AVP,28212
200552,0,56,Self Enquiry,1,15,Small Business,Male,2,3,Super Deluxe,3,Divorced,1,0,4,0,0,AVP,26103
200772,0,56,Company Invited,1,15,Small Business,Female,3,3,Basic,3,Divorced,3,0,2,0,0,Executive,17942
200976,0,56,Self Enquiry,1,29,Salaried,Male,3,3,Super Deluxe,4,Divorced,5,1,4,1,2,AVP,28402
201023,0,56,Self Enquiry,1,6,Salaried,Female,2,3,Basic,5,Divorced,3,0,5,1,1,Executive,17066
201354,1,56,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Single,2,0,3,0,0,Executive,17587
201371,0,56,Self Enquiry,3,17,Small Business,Female,2,4,Deluxe,5,Married,5,0,5,0,1,Manager,20380
201441,0,56,Company Invited,1,6,Salaried,Male,2,3,Deluxe,3,Married,2,0,3,0,0,Manager,21306
201444,1,56,Self Enquiry,1,13,Large Business,Male,3,3,Basic,3,Married,1,0,4,1,2,Executive,17339
201555,0,56,Self Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,1,0,0,Senior Manager,22260
201871,0,56,Company Invited,3,12,Salaried,Female,2,1,Super Deluxe,5,Married,1,0,3,1,0,AVP,28212
202022,0,56,Self Enquiry,1,15,Small Business,Male,2,3,Super Deluxe,3,Married,1,0,4,0,0,AVP,26103
202242,0,56,Company Invited,1,15,Small Business,Female,3,3,Basic,3,Married,3,0,1,1,0,Executive,17942
202509,0,56,Self Enquiry,1,15,Small Business,Female,3,4,Super Deluxe,3,Married,4,1,3,0,2,AVP,33434
202526,0,56,Self Enquiry,3,7,Salaried,Male,4,4,Standard,3,Divorced,5,0,2,0,2,Senior Manager,28917
202727,0,56,Self Enquiry,1,27,Large Business,Male,3,4,Deluxe,3,Divorced,5,1,2,1,2,Manager,24093
203052,1,56,Self Enquiry,3,9,Small Business,Male,3,4,Deluxe,3,Unmarried,6,0,2,0,2,Manager,23838
203189,0,56,Company Invited,1,25,Small Business,Male,4,4,Deluxe,4,Divorced,5,1,5,1,3,Manager,25063
203231,0,56,Company Invited,1,9,Salaried,Male,4,4,Standard,4,Divorced,5,0,2,1,2,Senior Manager,29654
203358,0,56,Company Invited,1,15,Small Business,Male,3,5,Super Deluxe,4,Married,3,1,3,1,2,AVP,32255
203419,1,56,Self Enquiry,3,20,Small Business,Male,3,2,Super Deluxe,3,Single,8,1,3,1,2,AVP,32373
203454,0,56,Self Enquiry,1,7,Small Business,Male,3,2,Super Deluxe,3,Married,4,0,5,1,1,AVP,33410
203509,0,56,Self Enquiry,1,11,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,4,0,1,Manager,22713
203560,0,56,Self Enquiry,3,33,Small Business,Male,3,5,King,3,Married,3,0,3,1,2,VP,38264
203651,0,56,Self Enquiry,1,29,Large Business,Male,4,5,Basic,4,Married,7,0,1,1,2,Executive,22215
203780,0,56,Self Enquiry,1,9,Large Business,Male,4,5,Basic,3,Married,2,0,5,0,1,Executive,21340
203979,0,56,Self Enquiry,1,15,Small Business,Female,3,4,Super Deluxe,3,Married,4,1,3,1,2,AVP,33434
203996,0,56,Self Enquiry,3,7,Salaried,Male,4,4,Standard,3,Married,5,0,1,0,3,Senior Manager,28917
204197,0,56,Self Enquiry,1,27,Large Business,Male,3,4,Deluxe,3,Married,5,1,1,0,1,Manager,24093
204522,1,56,Self Enquiry,3,9,Small Business,Male,3,4,Deluxe,3,Unmarried,6,0,1,1,1,Manager,23838
204659,0,56,Company Invited,1,25,Small Business,Male,4,4,Deluxe,4,Married,5,1,5,1,2,Manager,25063
204701,0,56,Company Invited,1,9,Salaried,Male,4,4,Standard,4,Married,5,0,1,0,2,Senior Manager,29654
204828,1,56,Company Invited,3,9,Salaried,Female,3,5,Basic,3,Single,2,0,5,0,1,Executive,32255
200065,0,55,Self Enquiry,1,14,Small Business,Female,2,3,Super Deluxe,3,Married,3,1,3,0,1,AVP,29756
200082,0,55,Self Enquiry,3,6,Salaried,Male,3,3,Standard,3,Divorced,4,0,2,0,1,Senior Manager,25239
200187,0,55,Self Enquiry,1,20,Small Business,Male,3,2,King,4,Single,1,0,2,0,2,VP,33722
200270,0,55,Self Enquiry,1,6,Small Business,Male,2,3,King,5,Single,1,1,2,1,0,VP,34045
200283,0,55,Self Enquiry,1,26,Large Business,Male,2,3,Deluxe,3,Divorced,4,1,2,1,1,Manager,20415
200379,0,55,Self Enquiry,1,8,Salaried,Female,3,3,Super Deluxe,3,Single,3,1,5,0,1,AVP,31659
200445,0,55,Self Enquiry,3,24,Salaried,Female,2,3,Super Deluxe,4,Single,4,0,2,0,1,AVP,31835
200608,1,55,Self Enquiry,3,8,Small Business,Male,2,3,Deluxe,3,Single,5,0,2,0,1,Manager,20160
200745,0,55,Company Invited,1,24,Small Business,Male,3,3,Deluxe,4,Divorced,4,1,5,1,2,Manager,21385
200774,0,55,Company Invited,1,8,Small Business,Male,2,4,Super Deluxe,5,Single,1,0,3,1,1,AVP,31756
200787,0,55,Company Invited,1,8,Salaried,Male,3,3,Standard,4,Divorced,4,0,2,1,1,Senior Manager,25976
200914,0,55,Company Invited,1,14,Small Business,Male,2,4,Super Deluxe,4,Married,2,1,3,1,1,AVP,28577
200955,0,55,Self Enquiry,1,8,Small Business,Female,2,5,King,3,Divorced,5,0,4,1,1,VP,34187
200975,1,55,Self Enquiry,3,19,Small Business,Male,2,1,Super Deluxe,3,Single,7,1,3,1,1,AVP,28695
201010,0,55,Self Enquiry,1,6,Small Business,Male,2,1,Super Deluxe,3,Married,3,0,5,1,0,AVP,29732
201116,0,55,Self Enquiry,3,32,Small Business,Male,2,4,King,3,Married,2,0,3,1,1,VP,34586
201264,0,55,Self Enquiry,1,8,Small Business,Male,2,4,King,5,Married,1,0,5,0,1,VP,34038
201336,0,55,Self Enquiry,1,8,Large Business,Male,3,4,Basic,3,Married,1,0,5,0,0,Executive,17662
201535,0,55,Self Enquiry,1,14,Small Business,Female,2,3,Super Deluxe,3,Married,3,1,3,1,1,AVP,29756
201552,0,55,Self Enquiry,3,6,Salaried,Male,3,3,Standard,3,Married,4,0,1,0,2,Senior Manager,25239
201657,0,55,Self Enquiry,1,20,Small Business,Male,3,1,King,4,Single,1,0,1,1,1,VP,33722
201740,0,55,Self Enquiry,1,6,Small Business,Male,2,3,King,5,Single,1,1,1,1,1,VP,34045
201753,0,55,Self Enquiry,1,26,Large Business,Male,2,3,Deluxe,3,Married,4,1,1,0,0,Manager,20415
201849,0,55,Self Enquiry,1,8,Salaried,Female,3,3,Super Deluxe,3,Single,3,1,5,0,0,AVP,31659
201915,0,55,Self Enquiry,3,24,Salaried,Female,2,3,Super Deluxe,4,Single,4,0,1,1,0,AVP,31835
202078,1,55,Self Enquiry,3,8,Small Business,Male,2,3,Deluxe,3,Single,5,0,1,1,0,Manager,20160
202215,0,55,Company Invited,1,24,Small Business,Male,3,3,Deluxe,4,Married,4,1,5,1,1,Manager,21385
202244,0,55,Company Invited,1,8,Small Business,Male,2,4,Super Deluxe,5,Single,1,0,3,1,1,AVP,31756
202257,0,55,Company Invited,1,8,Salaried,Male,3,3,Standard,4,Married,4,0,1,0,1,Senior Manager,25976
202384,1,55,Company Invited,3,8,Salaried,Fe Male,2,4,Basic,3,Single,1,0,5,0,0,Executive,28577
202425,1,55,Self Enquiry,3,15,Small Business,Female,2,5,Basic,4,Single,2,0,1,1,1,Executive,34187
202539,0,55,Self Enquiry,1,9,Large Business,Female,3,4,Standard,3,Divorced,2,0,4,1,1,Senior Manager,32227
202663,0,55,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,5,Divorced,4,0,4,1,2,Manager,24618
202776,0,55,Company Invited,1,27,Salaried,Fe Male,3,4,Deluxe,3,Unmarried,5,0,4,1,1,Manager,23547
202875,0,55,Self Enquiry,1,15,Salaried,Female,3,4,Deluxe,3,Unmarried,2,0,2,1,1,Manager,22458
202954,0,55,Self Enquiry,2,26,Small Business,Male,3,4,Standard,4,Divorced,4,0,3,1,1,Senior Manager,29403
203019,0,55,Self Enquiry,1,26,Small Business,Female,4,4,Deluxe,5,Married,2,1,3,0,1,Manager,24163
203172,0,55,Self Enquiry,1,24,Large Business,Female,3,4,Standard,3,Divorced,2,0,5,1,1,Senior Manager,29417
203215,0,55,Self Enquiry,3,9,Salaried,Female,3,5,Standard,3,Divorced,8,0,5,1,1,Senior Manager,29364
203334,0,55,Company Invited,1,7,Salaried,Female,3,4,Standard,3,Married,2,0,5,1,2,Senior Manager,29180
203749,0,55,Self Enquiry,1,14,Small Business,Female,4,4,Deluxe,3,Married,6,0,3,1,2,Manager,25532
203841,0,55,Self Enquiry,1,16,Salaried,Female,4,4,Deluxe,3,Married,5,0,5,0,2,Manager,21575
203850,0,55,Self Enquiry,1,17,Small Business,Female,4,4,Deluxe,5,Unmarried,8,1,1,0,1,Manager,23118
204009,0,55,Self Enquiry,1,9,Large Business,Female,3,4,Standard,3,Married,2,0,4,0,1,Senior Manager,32227
204133,0,55,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,5,Married,4,0,4,1,1,Manager,24618
204246,0,55,Company Invited,1,27,Salaried,Fe Male,3,4,Deluxe,3,Unmarried,5,0,4,0,2,Manager,23547
204345,0,55,Self Enquiry,1,6,Salaried,Female,3,4,Deluxe,3,Unmarried,2,0,1,0,1,Manager,22458
204424,0,55,Self Enquiry,2,26,Small Business,Male,3,4,Standard,4,Married,4,0,3,1,2,Senior Manager,29403
204489,0,55,Self Enquiry,1,26,Small Business,Female,4,4,Deluxe,5,Married,2,1,3,0,3,Manager,24163
204642,0,55,Self Enquiry,1,24,Large Business,Female,3,4,Standard,3,Married,2,0,5,0,1,Senior Manager,29417
204685,0,55,Self Enquiry,3,9,Salaried,Female,3,5,Standard,3,Married,8,0,5,1,2,Senior Manager,29364
204804,0,55,Company Invited,1,8,Salaried,Female,3,4,Standard,3,Married,2,0,5,0,2,Senior Manager,29180
200095,0,54,Self Enquiry,1,8,Large Business,Female,2,3,Standard,3,Divorced,1,0,4,1,0,Senior Manager,28549
200112,0,54,Company Invited,2,32,Salaried,Female,1,2,Super Deluxe,3,Single,3,1,3,1,0,AVP,32328
200219,0,54,Self Enquiry,3,9,Small Business,Female,2,3,Deluxe,5,Divorced,3,0,4,1,1,Manager,20940
200392,0,54,Self Enquiry,1,11,Small Business,Male,2,3,King,5,Divorced,5,0,4,1,0,VP,34406
200510,0,54,Self Enquiry,2,25,Small Business,Male,2,3,Standard,4,Divorced,3,0,3,1,0,Senior Manager,25725
200575,0,54,Self Enquiry,1,25,Small Business,Female,3,3,Deluxe,5,Married,1,1,3,0,0,Manager,20485
200728,0,54,Self Enquiry,1,23,Large Business,Female,2,3,Standard,3,Divorced,1,0,5,1,0,Senior Manager,25739
200771,0,54,Self Enquiry,3,8,Salaried,Female,2,4,Standard,3,Divorced,7,0,5,1,0,Senior Manager,25686
200890,0,54,Company Invited,1,6,Salaried,Female,2,3,Standard,3,Married,1,0,5,1,1,Senior Manager,25502
200894,0,54,Self Enquiry,1,9,Salaried,Male,2,3,Super Deluxe,3,Divorced,4,0,5,1,1,AVP,32779
201008,0,54,Self Enquiry,1,6,Small Business,Female,2,3,Super Deluxe,3,Single,7,0,4,1,1,AVP,32328
201076,0,54,Company Invited,1,17,Small Business,Female,2,3,Super Deluxe,3,Married,4,0,3,1,0,AVP,31032
201184,0,54,Self Enquiry,1,28,Small Business,Female,3,3,Super Deluxe,3,Married,4,0,1,1,1,AVP,32426
